Nom;Courage;Loyauté;Sagesse;Malice;Maison
Adrian;9;4;7;10;Serpentar
Andrew;9;3;4;7;Griffondor
Angelina;10;6;5;9;Griffondor
Anthony;2;8;8;3;Serdaigle
Arthur;10;4;2;5;Griffondor
Bellatrix;10;4;9;9;Serpentar
Bole;7;4;6;10;Serpentar
Colin;10;7;4;7;Griffondor
Cormac;9;6;5;4;Griffondor
Dean;9;8;4;7;Griffondor
Demelza;10;6;5;3;Griffondor
Derrick;5;4;6;5;Serpentar
Eddie;5;7;10;3;Serdaigle
Ernie;4;8;7;4;Poufsouffle
Euan;9;2;7;4;Griffondor
Gilderoy;7;9;9;9;Serdaigle
Gregory;6;9;7;8;Serpentar
Hannah;8;10;2;4;Poufsouffle
Harper;6;3;5;10;Serpentar
Jimmy;9;9;9;10;Griffondor
Justin;5;10;7;10;Poufsouffle
Katie;10;2;3;9;Griffondor
Lavande;10;8;8;6;Griffondor
Lee;10;2;2;8;Griffondor
Luna;2;9;9;2;Serdaigle
Marcus;6;5;8;10;Serpentar
Marietta;10;8;10;9;Serdaigle
Michael;4;2;6;5;Serdaigle
Milicent;9;3;5;6;Serpentar
Mimi;4;4;9;10;Serdaigle
Montague;5;7;2;10;Serpentar
Neville;10;5;6;4;Griffondor
Norbert;3;10;7;6;Poufsouffle
Nymphadora;2;5;3;8;Poufsouffle
Padma;6;6;6;9;Serdaigle
Paenny;2;8;9;8;Poufsouffle
Pansy;4;4;10;8;Serpentar
Parvati;10;5;2;6;Griffondor
Pomona;5;10;7;8;Poufsouffle
Quirinus;7;10;10;2;Serdaigle
Roger;9;10;10;8;Serdaigle
Romilda;10;6;2;9;Griffondor
Saemus;7;4;8;3;Griffondor
Sirius;10;8;10;7;Griffondor
Susan;5;6;5;5;Poufsouffle
Susan;4;10;10;5;Poufsouffle
Ted;5;9;8;4;Poufsouffle
Térence;6;9;2;8;Serpentar
Terry;8;4;10;5;Serdaigle
Vincent;4;9;2;10;Serpentar
